english	mandarin
Friends to Our Shores	新加坡贵宾廊道
Friendship Grant	友谊辅助金
Front Bench	前座议员
Frontier Primary School	先锋小学
Frustrated Contracts Act	无法履行契约法令
Fuchun Community Club	福春民众俱乐部
FUDU PARK	富都园
FUDU WALK	富都径
Fuel Economy Labelling Scheme (FELS)	车辆燃油消耗量标签
Full day senior citizen transport concession	全日乐龄优惠车资
Full market rate	全额市场租金
Full Retirement Sum	全额存款
Fullerton Lighthouse	浮尔顿灯塔
FULLERTON ROAD	浮尔顿路
FULLERTON SQUARE	浮尔顿广场
Full-Time Degree Sponsorship Programme	全日制学位课程赞助计划
Full-time National Serviceman (NSF)	全职国民服役人员
Fully Paid-Up Property	已付清产业
FULTON AVENUE	福登道
FULTON ROAD	福登路
Functional Assessment	身体功能评估
Functional Assessment Report	身体功能评估报告
Functional Disability Assessment (done at GP clinics/polyclinics)	残疾评估（可在普通科医生诊所/综合诊疗所进行）
Functional/disability assessment	能力评估
Fundamental Movement Skills (FMS)	基本运动技能
Funpack	国庆礼包
Further Tax Deduction scheme	进一步税务扣减制度
Fusion Music	融合多元文化风格的音乐
FUSION PLACE	启汇坊
Fusionopolis	启汇园
FUSIONOPOLIS LINK	启汇连路
FUSIONOPOLIS PLACE	启汇坊
FUSIONOPOLIS VIEW	启汇景
FUSIONOPOLIS WALK	启汇径
FUSIONOPOLIS WAY	启汇大道
Future City	未来城市
Future Corporate Capabilities and Innovation	未来企业能力与创新
Future Elector	未来选民
Future Growth Industries and Markets	未来增长领域与市场
Future Jobs and Skills	未来就业与技能
Future of Connectivity	未来衔接性
Futures Incentive Scheme (FIS) / Forward Sales Contract (FSC)	能源期货奖励计划
GALI BATU CLOSE	卡利巴株弄
GALI BATU FLYOVER	卡利巴株立交桥
GALISTAN AVENUE	格利士坦道
GALLOP PARK ROAD	格洛园路
GALLOP ROAD	格洛路
GALLOP WALK	格洛径
GAMBAS AVENUE	甘巴士道
GAMBAS BRIDGE	甘巴士桥
GAMBAS CRESCENT	甘巴士弯
GAMBAS LINK	甘巴士连路
GAMBAS WAY	甘巴士大道
GAMBIR WALK	甘必径
Gambling Suppression Branch	肃赌组
Games Solution Centre (GSC)	游戏研发中心
Gan Clan Association	新加坡颜氏公会
Gan Kim Yong	颜金勇
Gan Thiam Poh	颜添宝
GANGES AVENUE	恒河道
GANGSA ROAD	岗沙路
Gap Semester	间隔学段
GARDEN AVENUE	花园道
Garden City	花园城市
Garden City Fund	花园城市基金
GARDEN ROAD	花园路
GARDENIA ROAD	加丁尼亚路
Gardens by the Bay	滨海湾花园
GARLICK AVENUE	加立克道
GARO Contingent (GC)	选务官员团队
Gas Metering Code	燃气测量守则
Gas monitoring system	燃气监管系统
Gas Network Code	燃气运输守则
Gas Safety Code	燃气安全守则
Gas storage tank	储气罐
Gas Supply Code	燃气供应守则
GATEWAY DRIVE	商汇通道
GATEWAY LINK	商汇连路
GCC-Singapore FTA (GCC stands for The Cooperation Council for the Arab States of the Gulf) (GSFTA)	新加坡-海湾合作理事会自由贸易协定
GeBIZ	政府电子商务网站
GeBIZ Trading Partners (GTP)	政府电子商务中心交易伙伴
Gek Poh Ville Community Club	玉宝苑民众俱乐部
GEMMILL LANE	仁美巷
GEMS Up	服务至上行动
GEMS Up Committee, Co-Chairperson	服务至上行动委员会联合主席
Genco Energy Efficiency Grant Call	电力公司能源效率津贴
General Assent	全体同意
General Education Officer	普通教育官
General Education Programme (GenEd)	普通教育课程
General Election (GE)	大选
General Engineering and Safety Standards Committee (GESSC)	通用工程与安全标准委员会
General Household Survey (GHS)	综合住户调查
General Practitioner (GP)	家庭医生
General Practitioner (GP) clinic	家庭诊所
General Staff (Development)	陆军参谋处（发展）
General Staff (Operations)	陆军参谋处（作战）
General/Admiral (GEN/ADM)	上将/海军上将
GENTING LANE	仁定巷
GENTING LINK	仁定连路
GENTING ROAD	仁定路
GENTLE DRIVE	仁德道
GENTLE ROAD	仁德路
Geographical cluster	群区
Geographical Indications Act	地理标志法令
GEORGE STREET	乔治街
GeoSpatial Information and Technology Exchange (GITEX)	地理空间讯息与科技交流会
GERALD CRESCENT	日乐弯
GERALD DRIVE	日乐通道
GERALD PARK	日乐园
GERALD TERRACE	日乐台
German Singapore Business Forum (GSBF)	德国新加坡商业论坛
Get-Up Programme	成长企业科技提升计划
GEYLANG BAHRU	芽笼峇鲁
GEYLANG BAHRU BRIDGE	芽笼峇鲁桥
GEYLANG BAHRU LANE	芽笼峇鲁巷
Geylang Bahru MRT Station	芽笼峇鲁地铁站
GEYLANG BAHRU TERRACE	芽笼峇鲁台
GEYLANG DRIVE	芽笼通道
GEYLANG EAST AVENUE 1	芽笼东1道
GEYLANG EAST AVENUE 2	芽笼东2道
GEYLANG EAST AVENUE 3	芽笼东3道
GEYLANG EAST CENTRAL	芽笼东中路
Geylang East Public Library (GEPL)	芽笼东公共图书馆
GEYLANG ROAD	芽笼路
GEYLANG SERAI	芽笼士乃
Geylang Serai Community Club	芽笼士乃民众俱乐部
Geylang West Community Club	芽笼西民众俱乐部
GHIM MOH LINK	锦茂连路
GHIM MOH ROAD	锦茂路
GIBRALTAR CRESCENT	直布罗陀弯
GIC Pte Ltd	新加坡政府投资有限公司
Gift of Mobility	爱心代步计划
Gigawatt-peak (GWp)	吉瓦峰
Gillman Barracks	吉门营房
Gillman Barracks arts belt	吉门营房艺术区
GILLMAN FLYOVER	吉门立交桥
GILLMAN HEIGHTS	吉门岭
GILSTEAD ROAD	吉士德路
Gini coefficient	基尼系数
Giro	财路
GIS Data Management System (GDMS)	地理讯息管理系统
GLADIOLA DRIVE	格地拉通道
GLASGOW ROAD	格拉士哥路
Global City for the Arts	国际艺术之都
Global Entrepreneurship Week	全球创业周
Global Excellence Model Council	全球优异模范理事会
Global Infrastructure Facility (GIF)	全球基础设施基金
Global Innovation Alliance (GIA)	全球创新联盟
Global Innovation Tournament (GIT)	全球创新大赛
Global Internship Awards	全球实习工作奖
Global Navigation Satellite System	全球导航卫星系统
Global Positioning System (GPS)	全球卫星定位系统
Global Ready Talent Programme	国际化人才培育计划
Global Siow's Clansmen Fellowship Association	环球萧氏宗亲恳亲会
Global Trader Dialogue (GTD)	全球贸易商对话会
Global Trader Summit (GTS)	环球贸易商峰会
Global Water Awards	全球水源奖
Globally-competitive companies (GCCs)	具有全球竞争力的企业
GLOUCESTER ROAD	格罗士特路
Go the Extra Mile for Service (GEMS)	提升服务行动
Goh Chok Tong	吴作栋
Goh Keng Swee Centre for Education	吴庆瑞教师专业培训学院
Goh Keng Swee Command and Staff College	吴庆瑞指挥与参谋学院
Golden Axe	“金斧奖”
GOLDEN DRIVE	黄金通道
Golden Hobbyist Series	黄金爱好者系列课程
Golden Jubilee	金禧庆典
Golden Point Award	金笔奖
GOLDEN RISE	黄金坡
GOLDEN WALK	黄金径
Golden Work Series	黄金职业培训系列课程
GOLDHILL AVENUE	金岭道
GOLDHILL DRIVE	金岭通道
GOLDHILL PLACE	金岭坊
GOLDHILL PLAZA	金岭广场
GOLDHILL RISE	金岭坡
GOLDHILL VIEW	金岭景
Gombak Base	甘柏军营
GOMBAK DRIVE	甘柏通道
GOMBAK RISE	甘柏坡
Good Laboratory Practice (GLP)	优良实验室规范
GOODLINK PARK	月邻园
Goodman Arts Centre	月眠艺术中心
GOODMAN ROAD	月眠路
Goods and Services Tax (GST)	消费税
Goods and Services Tax (GST) Assistance Scheme	消费税援助计划
Goods and Services Tax Board of Review	消费税检讨委员会
GOODWOOD HILL	良木山
GOPENG STREET	高平街
GORDON ROAD	戈登路
GOSPORT ROAD	哥士卜路
Governance Adviser	监管顾问
Government Assistance Schemes	政府援助计划
Government Assurance	政府保证
Government Bill	政府法案
Government Chief Information Office (GCIO)	政府资讯处
Government Electronic Business	政府电子商务网
Government Gazette	政府宪报
Government guarantee (for borrowings)	政府为借贷提供的担保
Government Land Sales (GLS)	政府售地
Government Land Sales Programme (GLS)	售地计划
Government Linked Companies	政联企业
Government Member	执政党议员
Government Parliamentary Committee (GPC)	政府国会委员会
Government Proceedings Act	政府诉讼法令
Government records	政府档案
Government Technology Agency (GovTECH)	政府科技局
Government Terms Translated Database	政府相关词汇译名网站
Government Whip	执政党党督
Government-aided school	政府辅助学校
Government-Paid Childcare Leave Scheme (GPCL)	政府承担薪资的育儿事假
Government-Paid Maternity Leave Scheme (GPML)	政府承担薪资的产假
Government-Paid Shared Parental leave	政府承担薪资的父母共用产假
Government-Partnerships for Capability Transformation (Gov-PACT)	政府提升企业能力合作计划
Grace Fu Hai Yien	傅海燕
GRACE PARK	玉丽园
Grace Period	宽限期
GRACE WALK	玉丽径
Gracehaven Children's Home	恩典之家儿童收容所
Graciousness on Public Transport Campaign	公共交通优雅行为运动
Graffiti Art	涂鸦艺术
GRAHAM WHITE DRIVE	格汉怀德通道
Grandparent Caregiver Relief	祖父母估税回扣
GRANGE GARDEN	格兰芝花园
GRANGE ROAD	格兰芝路
Grant Exercise	资助分配计划
Grant for Energy Efficient Technology (GREET)	能源效率科技援助计划
Grant to defray Certificate of Entitlement and Additional Registration Fee costs	拥车证费用与额外注册费津贴
Grassroot Leaders	基层领袖
Grassroots Alert System (G-Alert System)	基层警报系统
Grassroots Emergency Response Guide Book	基层领袖紧急应变手册
Grassroots Heritage Centre	基层文物中心
Grassroots Heritage Roving Exhibition	基层文物看板巡回展
Grassroots Leader	基层领袖
Grassroots Organisations	基层组织
GRAY LANE	格烈巷
Green Advocate of the Year	年度绿色倡导者
Green and Gracious Builder (SMC) Award	环保与优雅(中小型)建筑商奖
Green and Gracious Builder Award	环保与优雅建筑商奖
Green and Gracious Builder Award (Excellent)	环保与优雅建筑商（卓越）奖
Green Architect of the Year	年度绿色建筑师
Green Building Innovation Cluster (GBIC)	绿色建筑创新组
Green Building Masterplan	绿色建筑总蓝图
Green Engineer of the Year	年度绿色工程师
Green Innovator of the Year	年度绿色创新者
Green Labelling Scheme (GLS)	绿色环保标签计划
GREEN LANE	格林巷
Green Link Determining System (GLIDE)	公路绿波系统
Green Man Plus	延时绿人
Green Mark Award	绿色建筑标志奖
Green Mark Champion	绿色建筑领导奖
Green Mark for District	绿色园区标志
Green Mark for Residential Buildings 2016	2016住宅版绿色建筑标志
Green Mark Gold	绿色建筑标志金奖
Green Mark GoldPLUS	绿色建筑标志超金奖
Green Mark Incentive Schemes	绿色建筑奖励计划
Green Mark Pearl Award	绿色建筑标志明珠奖
Green Mark Pearl Prestige Award	绿色建筑标志明珠威望奖
Green Mark Platinum	绿色建筑标志白金奖
Green Mark Platinum Champion	绿色建筑领导白金奖
Green Mark Scheme	绿色建筑标志计划
Green Mark Scheme for Data Centres	绿色数据库标志计划
Green Paper	绿皮书
Green Port Programme	绿色港口计划
Green Ship Programme	绿色船只计划
Green Technology Programme	绿色科技计划
Green Trail	绿色风光之旅
GREENBANK PARK	绿岸园
GREENDALE AVENUE	青谷道
GREENDALE RISE	青谷坡
GREENFIELD DRIVE	格林菲通道
Greenhouse Gas Emissions	温室气体排放
GREENLEAF AVENUE	绿叶道
GREENLEAF DRIVE	绿叶通道
GREENLEAF GROVE	绿叶林
GREENLEAF LANE	绿叶巷
GREENLEAF PLACE	绿叶坊
GREENLEAF RISE	绿叶坡
GREENLEAF ROAD	绿叶路
GREENLEAF VIEW	绿叶景
GREENMEAD AVENUE	青美道
GREENPARK AVENUE	青园道
Greenprint	绿色家园计划
GREENRIDGE CRESCENT	翠绿岗弯
GREENVIEW CRESCENT	青景湾
GREENWICH DRIVE	格林威治通道
GREENWOOD AVENUE	青木道
GREENWOOD CRESCENT	青木弯
GREENWOOD GROVE	青木林
GREENWOOD LANE	青木巷
GREENWOOD LINK	青木连路
GREENWOOD PLACE	青木坊
GREENWOOD TERRACE	青木台
GREENWOOD VIEW	青木景
GREENWOOD WALK	青木径
Grid Charges	电网费用
Grid Computing	网格计算
Grid Emissions Factor	电网排放系数
Gross Dividend	股息毛额
Gross Domestic Product (GDP)	国内生产总值
Gross Floor Area (GFA)	总建筑楼面
Gross Floor Area Plan	总建筑楼面图
Gross Household income	家庭收入
Gross plot ratio	总容积率
Ground-based Air Defence System	地面空防系统
Group Assistant Returning Officer (GARO)	团队助理选举官
Group Chief, MINDEF Communications	国防部通讯总长
Group Representation Constituency (GRC)	集选区
GROVE AVENUE	小林道
GROVE CRESCENT	小林弯
GROVE DRIVE	小林通道
GROVE LANE	小林巷
Grow & Share Package	增长共享配套
Growing Globally Competitive Companies	培育具国际竞争力的企业
Growth Dividends	增长分红
GST Credits	消费税补贴
GST relief	消费税减免
GST Voucher (GSTV)	消费税补助券
GST Voucher Scheme	消费税补助券计划
GST Voucher-Medisave	消费税补助券-保健储蓄部分
GSTV-Cash: Seniors' Bonus	消费税补助券—乐龄花红
GUAN CHUAN STREET	源全街
GUAN SOON AVENUE	源顺道
Guangxi and Gaozhou Association	广西暨高州会馆
Guard-Of-Honour	仪仗队
Guardsman	精卫兵
Guidance Programme	指导计划
Guide Rental/Guide Rent	预示租金
Guideline on R&D Incentive Scheme	研究与发展指导原则
GUILLEMARD CAMP ROAD	基里玛兵营路
GUILLEMARD CLOSE	基里玛弄
GUILLEMARD CRESCENT	基里玛弯
GUILLEMARD LANE	基里玛巷
GUILLEMARD ROAD	基里玛路
Guillotine	截止（时间）
GUL AVENUE	卡尔道
GUL CIRCLE	卡尔圈
Gul Circle MRT Station	卡尔圈地铁站
GUL CRESCENT	卡尔弯
GUL DRIVE	卡尔通道
GUL LANE	卡尔巷
GUL LINK	卡尔连路
GUL ROAD	卡尔路
GUL STREET 1	卡尔1街
GUL STREET 2	卡尔2街
GUL STREET 3	卡尔3街
GUL STREET 4	卡尔4街
GUL STREET 5	卡尔5街
GUL WAY	卡尔大道
Gulfstream G550 Airborne Early Warning aircraft	湾流550型空中预警机
GUNNER LANE	炮兵巷
GUOK AVENUE	郭氏道
Gurkha	辜加警察团
Gurkha Contingent	辜加警队
Gurkha Contingent Headquarters	辜加警队总部
GYMKHANA AVENUE	因干纳道
HACIENDA GROVE	哈生达林
Hague Convention on the Civil Aspects of International Child Abduction	海牙国际诱拐儿童民事方面公约
HAI SING CRESCENT	海星弯
HAI SING ROAD	海星路
HAIG AVENUE	海格道
HAIG LANE	海格巷
HAIG ROAD	海格路
HAIGSVILLE DRIVE	海格威通道
Hainan Goh Clan Association (Singapore)	新加坡海南吴氏公会
HAJI LANE	哈芝巷
Halfway house	中途之家
HALIFAX ROAD	赫利法斯路
HALTON ROAD	贺敦路
HALUS BRIDGE	哈鲁士桥
HALUS LINK	哈鲁士连路
HAMILTON PLACE	翰密顿坊
HAMILTON ROAD	翰密顿路 (俗称胡文钊路)
HAMPSHIRE BRIDGE	翰沙桥
HAMPSHIRE ROAD	翰莎路
HAMPSTEAD GARDENS	翰士德花园
Hand Wound Siren	手绞警报器
Handicapped brother/sister relief	残障兄弟/姐妹扣除
Handicapped spouse relief	残障配偶扣除
Handphone IMEI Tracing System	国际移动通讯器材身份，手机编号
Handprint Motif	掌印图案
HANDY ROAD	汉地路
Hansard	国会议事记录
Hanyu Shuiping Kaoshi (HSK)	汉语水平考试
HAPPY AVENUE CENTRAL	安乐道中路
HAPPY AVENUE EAST	安乐道东
HAPPY AVENUE NORTH	安乐道北
HAPPY AVENUE WEST	安乐道西
Harassment Act	反骚扰法案
HARBOUR DRIVE	海港通道
HARBOURFRONT AVENUE	港湾道
Harbourfront MRT Station	港湾地铁站
HARBOURFRONT PLACE	港湾坊
HARBOURFRONT WALK	港湾径
HARDING ROAD	哈丁路
HARLYN ROAD	哈林路
Harmony Centre	和谐中心
Harmony Fund	和谐基金
HARPER ROAD	哈波路
HARRISON ROAD	哈里逊路
HARTLEY GROVE	哈特礼林
HARVEY AVENUE	哈威道
HARVEY CLOSE	哈威弄
HARVEY CRESCENT	哈威弯
HARVEY ROAD	哈威路
Hashtag	主题标签(俗称井字号Hashtag#)
HASTINGS ROAD	赫士汀斯路
HAVELOCK LINK	合乐连路
HAVELOCK ROAD	合乐路
HAVELOCK SQUARE	合乐广场
Having the Floor	发言权
Haw Par Villa MRT Station	虎豹别墅地铁站
Hawker Centres Upgrading Programme (HUP)	小贩中心翻新计划
HAWKINGE ROAD	贺肯芝路
Hazardous Act	有害物质法令
HAZEL PARK TERRACE	嘉林台
Hazmat Branch	危险物质科
Hazmat Control Vehicle	危险化学物质控制车
Hazmat Incident Management System (HIMS)	危险化学物质事件管理系统
HAZMAT Mitigation Vehicle	危险化学物质缓化车
Hazmat Specialist	危险物质控制专业人员
Hazmat Support Vehicle	危险化学物质支援车
Hazmat Team	危险物质控制队
